cellname,date,accessability,retainability
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
060-1,2/02/15,89,95
060-2,1/02/15,98,65
060-2,2/02/15,78,60
060-3,1/02/15,79,54
060-3,2/02/15,67,59
060-4,1/02/15,65,25
060-4,2/02/15,67,48
060-5,1/02/15,98,23
060-5,2/02/15,56,37
060-1,1/02/15,98,30
